"","Minutes","NClxT","TPsum","avNcycT","avSPLT","kHz125ileT","kHzMedianT","kHz875ileT","kHzModeT","percentupT","avUpT","percentdownT","avDownT","Clks_s_25ile","Clks_s_median","Clks_s_75ile","Clks_s_mode","HiQ","ModQ","Season","Random","FMA"
"1",79,6263,35879282,10,64,104,128,136,135,36,9,58,8,22,45,132,20,1645,4618,"Spring",0.8374919209,"IId"
"2",76,6589,32316645,9,30,122,131,138,132,30,8,64,8,28,53,99,19,1338,5251,"Spring",0.2434831277,"IId"
"3",74,15264,44081998,9,37,122,130,136,136,33,8,61,7,51,106,214,252,7431,7833,"Spring",0.3894671425,"IId"
"4",154,29798,86979154,10,38,122,131,137,136,32,8,62,8,51,112,229,252,11858,17940,"Spring",0.4315022869,"IId"
"5",100,27066,75306842,10,41,121,130,137,132,33,8,60,8,49,113,252,252,12062,15004,"Spring",0.5102629235,"IId"
"6",171,42859,118773174,10,48,121,130,137,136,36,8,58,8,52,112,217,252,19379,23480,"Spring",0.1765769826,"IId"
"7",213,50283,143605687,9,49,107,128,136,136,38,9,56,8,50,91,188,252,21652,28631,"Spring",0.3078320637,"IId"
"8",11,282,1827406,7,33,77,120,134,119,35,10,58,6,19,33,54,16,29,253,"Spring",0.8749630765,"IId"
"9",132,28544,115075174,10,41,110,129,137,136,34,9,61,8,34,71,159,19,11754,16790,"Spring",0.142765175,"IId"
"10",484,48831,156114097,10,47,121,130,137,136,34,8,59,8,47,91,184,252,17646,31185,"Spring",0.3693591874,"IId"
"11",203,24594,81156298,10,45,121,130,136,132,35,8,59,8,46,105,189,252,8517,16077,"Spring",0.868868283,"IId"
"12",227,49168,149950690,10,50,121,130,137,136,34,8,60,8,49,103,204,252,21231,27937,"Spring",0.4214181052,"IId"
"13",103,25581,92603709,10,43,121,130,137,136,35,8,60,8,40,77,175,252,9219,16362,"Spring",0.7573524707,"IId"
"14",102,26471,89531165,10,45,119,129,136,129,35,9,59,8,42,104,197,252,10790,15681,"Spring",0.1065654618,"IId"
"15",145,31308,102423369,10,41,121,130,137,129,34,8,60,8,43,90,188,252,10985,20323,"Spring",0.6711149094,"IId"
"16",156,10983,52900760,9,78,90,125,136,128,40,11,54,8,31,57,150,252,3011,7972,"Spring",0.2980994887,"IId"
"17",15,127,993957,9,24,128,134,138,136,38,11,56,7,36,126,169,160,13,114,"Spring",0.9468298763,"IId"
"18",86,17978,56813158,10,49,119,130,137,136,34,9,60,8,49,102,182,252,8296,9682,"Spring",0.4515093094,"IId"
"19",15,3355,16650164,9,68,80,120,133,126,46,11,49,8,34,59,211,252,946,2409,"Spring",0.8208180753,"IId"
"20",213,50283,143605687,9,49,107,128,136,136,38,9,56,8,50,91,188,252,21652,28631,"Spring",0.3078320637,"IId"
"21",195,39053,123627587,10,47,122,131,137,136,34,8,60,8,45,89,178,252,17590,21463,"Spring",0.1779590394,"IId"
"22",34,1601,4169983,9,37,117,125,134,125,37,8,57,8,64,103,167,92,532,1069,"Spring",0.6368502006,"IId"
"23",30,3091,11674497,7,39,55,121,133,125,48,10,46,7,34,56,110,52,649,2442,"Spring",0.8603496945,"IId"
"24",106,9152,31553658,10,43,122,131,137,136,34,8,60,8,40,92,205,252,2741,6411,"Spring",0.2692565267,"IId"
"25",168,22999,88385213,10,51,122,131,137,136,33,8,61,8,36,68,153,252,7276,15723,"Spring",0.3408718989,"IId"
"26",1,15,12963,5,152,121,125,130,126,33,7,53,3,231,231,231,231,0,15,"Spring",0.07466130407,"IId"
"27",56,13329,29882942,9,42,122,130,136,129,35,8,59,7,71,173,252,252,6309,7020,"Spring",0.08684680514,"IId"
"28",64,1368,11447695,8,36,51,88,136,86,37,8,58,7,22,40,130,252,132,1236,"Spring",0.4039700049,"IId"
"29",42,5700,22224091,9,38,121,130,137,136,32,8,61,7,35,73,135,27,1922,3778,"Spring",0.1899862641,"IId"
"30",52,8100,24230826,9,37,121,129,137,129,33,8,61,8,54,109,199,252,2690,5410,"Spring",0.4449178509,"IId"
"31",65,1351,7970765,8,20,123,130,138,132,25,7,68,8,26,39,69,25,41,1310,"Spring",0.2390410183,"IId"
"32",7,256,1888957,6,20,49,72,129,52,50,9,42,5,22,30,46,30,18,238,"Spring",0.9332884956,"IId"
"33",37,4584,18232303,10,38,121,131,139,138,33,8,61,7,33,87,191,252,1492,3092,"Spring",0.6817510884,"IId"
"34",86,17978,56813158,10,49,119,130,137,136,34,9,60,8,49,102,182,252,8296,9682,"Spring",0.4515093094,"IId"
"35",23,798,6927178,7,153,80,114,128,112,57,13,38,7,16,26,38,14,180,618,"Spring",0.9884542677,"IId"
"36",227,49168,149950690,10,50,121,130,137,136,34,8,60,8,49,103,204,252,21231,27937,"Spring",0.4214181052,"IId"
"37",50,5561,24023180,10,51,122,131,138,136,35,9,59,8,29,63,131,20,1279,4282,"Spring",0.3149451731,"IId"
"38",7,256,1888957,6,20,49,72,129,52,50,9,42,5,22,30,46,30,18,238,"Spring",0.9332884956,"IId"
"39",24,882,5666356,8,46,120,129,136,129,31,7,61,6,24,32,42,30,80,802,"Spring",0.1872579452,"IId"
"40",1,41,229326,6,45,55,122,125,125,60,8,36,4,21,43,45,45,0,41,"Spring",0.2727596922,"IId"
"41",47,5241,20747186,9,44,122,130,138,136,33,8,60,8,36,70,172,252,1266,3975,"Spring",0.3637090281,"IId"
"42",15,4485,22048785,8,68,73,122,135,136,46,10,49,7,25,59,133,18,1733,2752,"Spring",0.8819410232,"IId"
"43",1,26,37317,8,20,125,131,136,125,38,8,50,6,122,122,207,122,0,26,"Spring",0.3924505434,"IId"
"44",17,3290,13280694,8,27,125,133,140,136,30,8,63,7,33,71,142,20,1031,2259,"Spring",0.6902054631,"IId"
"45",34,1601,4169983,9,37,117,125,134,125,37,8,57,8,64,103,167,92,532,1069,"Spring",0.6368502006,"IId"
"46",18,1090,5454355,10,43,123,134,139,136,31,8,64,8,25,54,109,23,272,818,"Spring",0.8332483234,"IId"
"47",22,357,1754332,8,31,122,131,137,136,26,6,68,6,32,42,65,32,0,357,"Spring",0.8660421818,"IId"
"48",147,15498,56759824,10,46,122,130,137,129,36,9,59,8,35,100,184,252,5441,10057,"Spring",0.877402905,"IId"
"49",60,8800,24549921,9,38,121,131,138,136,35,8,59,7,49,106,216,252,4322,4478,"Spring",0.8044172787,"IId"
"50",73,10652,57933460,9,41,66,125,137,136,39,9,55,8,24,44,78,21,2749,7903,"Spring",0.01948724805,"IId"
"51",4,182,485418,9,27,123,134,138,134,39,9,58,9,70,75,104,70,35,147,"Spring",0.3343181228,"IId"
"52",22,357,1754332,8,31,122,131,137,136,26,6,68,6,32,42,65,32,0,357,"Spring",0.8660421818,"IId"
"53",168,22999,88385213,10,51,122,131,137,136,33,8,61,8,36,68,153,252,7276,15723,"Spring",0.3408718989,"IId"
"54",1,12,8581,7,15,124,132,137,129,33,2,66,9,252,252,252,252,0,12,"Spring",0.7121011772,"IId"
"55",1,19,425084,13,25,136,137,139,137,52,7,36,6,9,9,9,9,0,19,"Spring",0.2082374805,"IId"
"56",168,22999,88385213,10,51,122,131,137,136,33,8,61,8,36,68,153,252,7276,15723,"Spring",0.3408718989,"IId"
"57",6,210,665069,6,45,65,107,126,126,56,13,38,7,44,71,98,144,17,193,"Spring",0.9151615916,"IId"
"58",83,24019,67982303,10,47,104,128,136,129,38,9,56,7,56,148,252,252,10665,13354,"Spring",0.260892742,"IId"
"59",2,72,780978,7,21,120,126,135,125,47,8,50,10,119,123,198,123,0,72,"Spring",0.102585605,"IId"
"60",279,30338,129596215,10,57,121,131,137,136,34,8,60,8,31,61,142,25,8872,21466,"Spring",0.5824151318,"IId"
"61",52,8100,24230826,9,37,121,129,137,129,33,8,61,8,54,109,199,252,2690,5410,"Spring",0.4449178509,"IId"
"62",6,413,1425074,6,48,61,75,126,72,42,10,52,6,41,68,252,252,151,262,"Spring",0.2696447361,"IId"
"63",203,24594,81156298,10,45,121,130,136,132,35,8,59,8,46,105,189,252,8517,16077,"Spring",0.868868283,"IId"
"64",43,1443,6674288,8,23,121,129,136,129,29,7,65,7,34,64,91,17,234,1209,"Spring",0.8586230495,"IId"
"65",1,12,8581,7,15,124,132,137,129,33,2,66,9,252,252,252,252,0,12,"Spring",0.7121011772,"IId"
"66",50,5561,24023180,10,51,122,131,138,136,35,9,59,8,29,63,131,20,1279,4282,"Spring",0.3149451731,"IId"
"67",11,1515,5976070,7,35,51,115,130,126,50,9,45,6,40,55,135,52,219,1296,"Spring",0.5006677309,"IId"
"68",543,91385,298026233,10,48,121,130,137,132,35,8,59,8,48,96,181,252,33186,58199,"Spring",0.9053557827,"IId"
"69",213,50283,143605687,9,49,107,128,136,136,38,9,56,8,50,91,188,252,21652,28631,"Spring",0.3078320637,"IId"
"70",14,1502,10122916,6,51,59,118,127,126,58,11,37,7,30,48,82,32,287,1215,"Spring",0.1633480163,"IId"
"71",81,6545,24506792,9,42,121,130,136,134,33,8,60,8,38,68,133,37,1390,5155,"Spring",0.9713981462,"IId"
"72",31,4668,21682622,12,57,121,131,136,136,33,8,61,9,29,55,157,21,1631,3037,"Spring",0.9183163498,"IId"
"73",194,26360,107560570,10,48,121,130,136,136,35,9,58,8,33,73,151,22,7072,19288,"Spring",0.02983067033,"IId"
"74",23,798,6927178,7,153,80,114,128,112,57,13,38,7,16,26,38,14,180,618,"Spring",0.9884542677,"IId"
"75",8,184,709031,7,18,121,131,135,133,39,10,54,8,25,90,186,25,0,184,"Spring",0.1528021027,"IId"
"76",18,1380,3970276,9,51,121,130,137,132,37,7,57,7,63,153,205,252,465,915,"Spring",0.7135676561,"IId"
"77",18,1380,3970276,9,51,121,130,137,132,37,7,57,7,63,153,205,252,465,915,"Spring",0.7135676561,"IId"
"78",46,8438,35764964,10,45,121,129,137,136,31,8,63,8,32,51,124,32,2119,6319,"Spring",0.8883803915,"IId"
"79",15,3355,16650164,9,68,80,120,133,126,46,11,49,8,34,59,211,252,946,2409,"Spring",0.8208180753,"IId"
"80",73,10652,57933460,9,41,66,125,137,136,39,9,55,8,24,44,78,21,2749,7903,"Spring",0.01948724805,"IId"
"81",185,38915,119965236,10,40,122,130,136,132,34,9,60,8,53,107,192,252,15934,22981,"Spring",0.8389443607,"IId"
"82",124,18198,49556156,10,52,120,130,136,136,36,9,58,8,66,127,216,252,9526,8672,"Spring",0.8463905795,"IId"
"83",279,30338,129596215,10,57,121,131,137,136,34,8,60,8,31,61,142,25,8872,21466,"Spring",0.5824151318,"IId"
"84",50,5561,24023180,10,51,122,131,138,136,35,9,59,8,29,63,131,20,1279,4282,"Spring",0.3149451731,"IId"
"85",543,91385,298026233,10,48,121,130,137,132,35,8,59,8,48,96,181,252,33186,58199,"Spring",0.9053557827,"IId"
"86",32,6435,13759664,10,51,122,129,136,129,37,9,58,8,75,132,216,252,2658,3777,"Spring",0.2765053359,"IId"
"87",1,395,4293040,6,92,57,105,127,125,60,12,35,6,15,22,45,21,113,282,"Spring",0.5976778809,"IId"
"88",120,19359,53561953,9,43,122,129,136,125,36,8,58,8,51,123,244,252,7782,11577,"Spring",0.7982114689,"IId"
"89",48,6127,26502098,9,40,121,130,136,136,33,8,61,7,33,52,127,29,1582,4545,"Spring",0.6112985751,"IId"
"90",142,32102,99218746,9,38,122,131,137,132,33,8,61,8,47,91,176,252,11035,21067,"Spring",0.745937277,"IId"
"91",54,6869,22077215,9,44,121,129,137,129,32,8,61,7,48,92,179,252,1914,4955,"Spring",0.7696583432,"IId"
"92",142,32102,99218746,9,38,122,131,137,132,33,8,61,8,47,91,176,252,11035,21067,"Spring",0.745937277,"IId"
"93",29,568,1923176,9,53,122,131,136,136,32,9,63,8,41,110,157,137,93,475,"Spring",0.4182773094,"IId"
"94",69,9016,26739101,9,39,121,129,136,129,34,8,59,7,49,98,232,252,3801,5215,"Spring",0.9400753517,"IId"
"95",1,988,6164370,6,79,61,109,127,121,58,11,36,7,23,31,47,27,66,922,"Spring",0.9235406419,"IId"
"96",1,67,380675,6,73,113,121,127,121,80,11,19,6,23,45,50,48,0,67,"Spring",0.4114884215,"IId"
"97",56,9423,28407151,9,49,122,131,138,132,33,8,61,8,48,98,195,252,3257,6166,"Spring",0.4406301023,"IId"
"98",10,815,5624522,6,123,72,116,128,120,69,13,28,7,22,29,51,23,241,574,"Spring",0.558946817,"IId"
"99",142,32102,99218746,9,38,122,131,137,132,33,8,61,8,47,91,176,252,11035,21067,"Spring",0.745937277,"IId"
"100",69,13812,42234913,9,39,121,129,136,132,30,8,63,8,48,86,196,252,5237,8575,"Spring",0.3924291095,"IId"
"101",2,31,200629,11,32,130,136,139,136,29,7,67,9,22,22,53,22,0,31,"Spring",0.5439932243,"IId"
"102",18,1090,5454355,10,43,123,134,139,136,31,8,64,8,25,54,109,23,272,818,"Spring",0.8332483234,"IId"
"103",1,205,576683,5,56,64,77,121,78,58,11,36,5,41,62,252,252,46,159,"Spring",0.6377759319,"IId"
"104",165,10931,48531600,10,48,121,131,138,136,33,9,61,8,34,67,132,27,2650,8281,"Spring",0.8564802219,"IId"
"105",147,15498,56759824,10,46,122,130,137,129,36,9,59,8,35,100,184,252,5441,10057,"Spring",0.877402905,"IId"
"106",132,28544,115075174,10,41,110,129,137,136,34,9,61,8,34,71,159,19,11754,16790,"Spring",0.142765175,"IId"
"107",77,16935,44893159,10,43,120,130,137,129,34,8,60,8,56,111,231,252,6852,10083,"Spring",0.03290483523,"IId"
"108",60,8800,24549921,9,38,121,131,138,136,35,8,59,7,49,106,216,252,4322,4478,"Spring",0.8044172787,"IId"
